review_text,rating,date,bank,source,sentiment,sentiment_score,themes
cbe ይለያል,5,2025-11-29,CBE,Google Play,neutral,0.0,Other
its special for me,5,2025-11-29,CBE,Google Play,positive,0.35714285714285715,Other
make it user friendly.,2,2025-11-29,CBE,Google Play,positive,0.375,Other
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,neutral,0.0,Other
good app,5,2025-11-28,CBE,Google Play,positive,0.7,Other
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,positive,0.52,Other
why didnt work this app?,1,2025-11-27,CBE,Google Play,neutral,0.0,Other
the app makes our life easier. thank you cbe!,5,2025-11-27,CBE,Google Play,neutral,0.0,Other
this app very bad,1,2025-11-27,CBE,Google Play,negative,-0.9099999999999998,Other
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,positive,0.4666666666666666,Other
good application,4,2025-11-27,CBE,Google Play,positive,0.7,Other
it is nice app,5,2025-11-26,CBE,Google Play,positive,0.6,Other
best,5,2025-11-25,CBE,Google Play,positive,1.0,Other
"it suddenly asked me to enter the verification key i received. and it get your verification key from the nearest cbe branch now im in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,CBE,Google Play,negative,-0.125,Other
nice app...,5,2025-11-25,CBE,Google Play,positive,0.6,Other
very good banking service and fast service,5,2025-11-24,CBE,Google Play,positive,0.5549999999999999,Other
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,positive,0.2,Other
good,5,2025-11-24,CBE,Google Play,positive,0.7,Other
why we cant send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,negative,-0.125,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,neutral,0.0,Other
በጣም ቀላልና ምቹ ነው,5,2025-11-23,CBE,Google Play,neutral,0.0,Other
wow,5,2025-11-23,CBE,Google Play,neutral,0.1,Other
nice,5,2025-11-22,CBE,Google Play,positive,0.6,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,neutral,0.0,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,positive,0.21428571428571427,Other
excellent,5,2025-11-22,CBE,Google Play,positive,1.0,Other
ዳጊ,5,2025-11-21,CBE,Google Play,neutral,0.0,Other
absolutely right,5,2025-11-21,CBE,Google Play,positive,0.2857142857142857,Other
mid application its so annoying,3,2025-11-20,CBE,Google Play,negative,-0.4,Other
i used morethan one year,4,2025-11-20,CBE,Google Play,neutral,0.0,Other
no word can explane about this app it is nice,5,2025-11-20,CBE,Google Play,positive,0.6,Other
"its great app,i love this app",5,2025-11-20,CBE,Google Play,positive,0.65,Other
suckkkks,1,2025-11-19,CBE,Google Play,neutral,0.0,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,neutral,0.0,Other
i love you this app,5,2025-11-19,CBE,Google Play,positive,0.5,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,positive,0.3666666666666667,Other
make life easy,5,2025-11-19,CBE,Google Play,positive,0.43333333333333335,Other
securr,5,2025-11-19,CBE,Google Play,neutral,0.0,Other
my most optional bank,5,2025-11-17,CBE,Google Play,positive,0.5,Other
5 star,5,2025-11-17,CBE,Google Play,neutral,0.0,Other
it is fantastic app.,5,2025-11-16,CBE,Google Play,positive,0.4,Other
sifen,5,2025-11-16,CBE,Google Play,neutral,0.0,Other
i like this,4,2025-11-16,CBE,Google Play,neutral,0.0,Other
ok,3,2025-11-16,CBE,Google Play,positive,0.5,Other
ጥሩ app ነዉ የኔ የግል አስተያየት update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,neutral,0.0,Login Issues
"seriously, whats going on with this app? the pay to beneficiary option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? its the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why youre limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,neutral,-0.019047619047619056,Other
like,5,2025-11-13,CBE,Google Play,neutral,0.0,Other
nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,positive,0.54375,Other
smart app,4,2025-11-12,CBE,Google Play,positive,0.21428571428571427,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,neutral,0.0,Other
cbe is my choice,4,2025-11-11,CBE,Google Play,neutral,0.0,Other
awesome,5,2025-11-11,CBE,Google Play,positive,1.0,Other
i am not able to transfer. the app is not responding,1,2025-11-11,CBE,Google Play,negative,-0.25,Other
very convenient app,5,2025-11-11,CBE,Google Play,positive,0.2,Other
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,positive,1.0,Other
wow apk,5,2025-11-10,CBE,Google Play,neutral,0.1,Other
best 100,5,2025-11-10,CBE,Google Play,positive,1.0,Other
bad app,1,2025-11-10,CBE,Google Play,negative,-0.6999999999999998,Other
best app,5,2025-11-10,CBE,Google Play,positive,1.0,Other
nice app,5,2025-11-10,CBE,Google Play,positive,0.6,Other
the app constantly glitches and wont stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,positive,0.2222222222222222,Other
i cant access it properly i think it needs update,1,2025-11-10,CBE,Google Play,neutral,0.0,Other
not refresh,2,2025-11-10,CBE,Google Play,neutral,0.0,Other
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,neutral,0.0,Other
good very good,5,2025-11-09,CBE,Google Play,positive,0.8049999999999999,Other
this is absolute trash why because its not woking most time the servers are down even though im using 4g data internet they steal not working they use to work with out even data package now its trash cant even send money,1,2025-11-09,CBE,Google Play,positive,0.18148148148148147,Other
bayeee galatooma kana caalati nu gammachisa,5,2025-11-08,CBE,Google Play,neutral,0.0,Other
good !,5,2025-11-08,CBE,Google Play,positive,0.875,Other
i like it,5,2025-11-08,CBE,Google Play,neutral,0.0,Other
very nice app,5,2025-11-08,CBE,Google Play,positive,0.78,Other
the app is not functional this week.,4,2025-11-08,CBE,Google Play,neutral,0.0,Other
very updated bank,5,2025-11-06,CBE,Google Play,positive,0.2,Other
